,Unnamed: 0,date,song_ranking,song_name,song_artist,peakPos,lastPos,weeks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalnes,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_id,artist_genres,artist_followers,artist_popularity
21955,55,2018-04-01,56,Gummo,6ix9ine,12,63,20,0.66,0.775,2.0,-4.926,1.0,0.172,0.0553,0.0,0.129,0.635,157.036,audio_features,4HbiCvH1R7mVOJ7KY7JQBD,spotify:track:4HbiCvH1R7mVOJ7KY7JQBD,https://api.spotify.com/v1/tracks/4HbiCvH1R7mVOJ7KY7JQBD,https://api.spotify.com/v1/audio-analysis/4HbiCvH1R7mVOJ7KY7JQBD,157643.0,4.0,,,,
21956,56,2018-04-01,57,Billy,6ix9ine,50,61,5,0.764,0.711,4.0,-3.818,0.0,0.28800000000000003,0.175,0.0,0.105,0.774,90.07600000000001,audio_features,5KhFaq45chTw8RGfWo8T8J,spotify:track:5KhFaq45chTw8RGfWo8T8J,https://api.spotify.com/v1/tracks/5KhFaq45chTw8RGfWo8T8J,https://api.spotify.com/v1/audio-analysis/5KhFaq45chTw8RGfWo8T8J,112667.0,4.0,,,,
21957,57,2018-04-01,58,Broken Halos,Chris Stapleton,45,55,18,0.613,0.564,8.0,-7.085,1.0,0.0251,0.134,1.65e-06,0.0585,0.5379999999999999,78.388,audio_features,06gD2ZtK3Dzc1BYqWExQJJ,spotify:track:06gD2ZtK3Dzc1BYqWExQJJ,https://api.spotify.com/v1/tracks/06gD2ZtK3Dzc1BYqWExQJJ,https://api.spotify.com/v1/audio-analysis/06gD2ZtK3Dzc1BYqWExQJJ,180907.0,4.0,,,,
21958,58,2018-04-01,59,Tell Me You Love Me,Demi Lovato,53,73,18,0.5379999999999999,0.6,6.0,-5.462999999999999,1.0,0.0489,0.0273,0.0,0.147,0.26,81.888,audio_features,1MKZaAEx8RrzoQjHhVuvgs,spotify:track:1MKZaAEx8RrzoQjHhVuvgs,https://api.spotify.com/v1/tracks/1MKZaAEx8RrzoQjHhVuvgs,https://api.spotify.com/v1/audio-analysis/1MKZaAEx8RrzoQjHhVuvgs,236987.0,4.0,,,,
21959,59,2018-04-01,60,Say Amen (Saturday Night),Panic! At The Disco,60,0,1,0.491,0.867,6.0,-2.313,0.0,0.10300000000000001,0.16699999999999998,0.0,0.45799999999999996,0.602,167.965,audio_features,76vMKwFtdDDCLcM6zXybjB,spotify:track:76vMKwFtdDDCLcM6zXybjB,https://api.spotify.com/v1/tracks/76vMKwFtdDDCLcM6zXybjB,https://api.spotify.com/v1/audio-analysis/76vMKwFtdDDCLcM6zXybjB,189187.0,4.0,,,,
21960,60,2018-04-01,61,Hardaway,Derez De'Shon,61,65,8,0.537,0.518,1.0,-5.987,1.0,0.188,0.11800000000000001,0.0,0.146,0.42700000000000005,132.52700000000002,audio_features,25qhnRgAcImQWfaswqRkwN,spotify:track:25qhnRgAcImQWfaswqRkwN,https://api.spotify.com/v1/tracks/25qhnRgAcImQWfaswqRkwN,https://api.spotify.com/v1/audio-analysis/25qhnRgAcImQWfaswqRkwN,236032.0,4.0,,,,
21961,61,2018-04-01,62,All On Me,Devin Dawson,52,52,18,0.634,0.6679999999999999,5.0,-5.4879999999999995,1.0,0.0291,0.14,0.0,0.21600000000000003,0.635,80.98899999999999,audio_features,2mfahQ0EaaZWq4cFNg6A1o,spotify:track:2mfahQ0EaaZWq4cFNg6A1o,https://api.spotify.com/v1/tracks/2mfahQ0EaaZWq4cFNg6A1o,https://api.spotify.com/v1/audio-analysis/2mfahQ0EaaZWq4cFNg6A1o,224627.0,4.0,,,,
21962,62,2018-04-01,63,El Farsante,Ozuna & Romeo Santos,49,69,9,0.737,0.742,6.0,-2.875,1.0,0.0441,0.218,0.0,0.316,0.386,119.96600000000001,audio_features,7uYgVgRSgqluZclLS7wpp4,spotify:track:7uYgVgRSgqluZclLS7wpp4,https://api.spotify.com/v1/tracks/7uYgVgRSgqluZclLS7wpp4,https://api.spotify.com/v1/audio-analysis/7uYgVgRSgqluZclLS7wpp4,258000.0,4.0,,,,
21963,63,2018-04-01,64,Lost In Japan,Shawn Mendes X Zedd,64,0,1,0.713,0.738,10.0,-6.784,1.0,0.374,0.255,0.0,0.106,0.425,105.027,audio_features,79esEXlqqmq0GPz0xQSZTV,spotify:track:79esEXlqqmq0GPz0xQSZTV,https://api.spotify.com/v1/tracks/79esEXlqqmq0GPz0xQSZTV,https://api.spotify.com/v1/audio-analysis/79esEXlqqmq0GPz0xQSZTV,201200.0,4.0,,,,
21964,64,2018-04-01,65,Zombie,Bad Wolves,54,68,3,0.44799999999999995,0.826,2.0,-3.2439999999999998,0.0,0.0319,0.007559999999999999,0.0,0.11699999999999999,0.19,77.093,audio_features,1vNoA9F5ASnlBISFekDmg3,spotify:track:1vNoA9F5ASnlBISFekDmg3,https://api.spotify.com/v1/tracks/1vNoA9F5ASnlBISFekDmg3,https://api.spotify.com/v1/audio-analysis/1vNoA9F5ASnlBISFekDmg3,254805.0,4.0,,,,
